,Date,AQI,Sample_Duration,Pollutant_Type
579,1991-08-10,50,24 HOUR,81102
580,1991-08-10,44,24 HOUR,81102
581,1991-08-16,37,24 HOUR,81102
582,1991-08-16,34,24 HOUR,81102
583,1991-08-22,54,24 HOUR,81102
584,1991-08-22,50,24 HOUR,81102
585,1991-08-28,54,24 HOUR,81102
586,1991-08-28,51,24 HOUR,81102
587,1991-09-03,64,24 HOUR,81102
588,1991-09-09,111,24 HOUR,81102
589,1991-09-15,54,24 HOUR,81102
590,1991-09-15,52,24 HOUR,81102
591,1991-09-21,60,24 HOUR,81102
592,1991-09-21,59,24 HOUR,81102
593,1991-09-27,65,24 HOUR,81102
594,1991-09-27,63,24 HOUR,81102
595,1991-10-09,77,24 HOUR,81102
596,1991-10-09,72,24 HOUR,81102
597,1991-10-15,81,24 HOUR,81102
598,1991-10-15,77,24 HOUR,81102
599,1991-10-21,81,24 HOUR,81102
600,1991-10-21,75,24 HOUR,81102
601,1991-10-27,37,24 HOUR,81102
602,1991-10-27,16,24 HOUR,81102
603,1991-11-02,67,24 HOUR,81102
604,1991-11-02,66,24 HOUR,81102
605,1991-11-08,88,24 HOUR,81102
606,1991-11-08,84,24 HOUR,81102
607,1991-11-14,53,24 HOUR,81102
608,1991-11-14,46,24 HOUR,81102
609,1991-11-20,46,24 HOUR,81102
610,1991-11-20,55,24 HOUR,81102
611,1991-11-26,72,24 HOUR,81102
612,1991-11-26,85,24 HOUR,81102
613,1991-12-04,91,24 HOUR,81102
614,1991-12-08,43,24 HOUR,81102
615,1991-12-08,44,24 HOUR,81102
616,1991-12-14,52,24 HOUR,81102
617,1991-12-14,32,24 HOUR,81102
618,1991-03-15,16,24 HOUR,81102
619,1991-06-11,54,24 HOUR,81102
620,1991-06-17,46,24 HOUR,81102
621,1991-10-03,67,24 HOUR,81102
622,1991-12-02,55,24 HOUR,81102
623,1991-12-20,47,24 HOUR,81102
624,1991-12-26,51,24 HOUR,81102
625,1991-01-06,39,24 HOUR,81102
626,1991-01-12,54,24 HOUR,81102
627,1991-01-26,88,24 HOUR,81102
628,1991-01-30,65,24 HOUR,81102
629,1991-02-05,46,24 HOUR,81102
630,1991-02-11,81,24 HOUR,81102
631,1991-02-17,30,24 HOUR,81102
632,1991-02-23,64,24 HOUR,81102
633,1991-03-01,8,24 HOUR,81102
634,1991-03-07,38,24 HOUR,81102
635,1991-03-13,12,24 HOUR,81102
636,1991-03-19,6,24 HOUR,81102
637,1991-04-02,40,24 HOUR,81102
638,1991-04-04,53,24 HOUR,81102
639,1991-04-06,35,24 HOUR,81102
640,1991-04-12,40,24 HOUR,81102
641,1991-04-18,46,24 HOUR,81102
642,1991-04-24,32,24 HOUR,81102
643,1991-05-06,53,24 HOUR,81102
644,1991-05-12,46,24 HOUR,81102
645,1991-05-18,23,24 HOUR,81102
646,1991-05-30,68,24 HOUR,81102
647,1991-06-05,54,24 HOUR,81102
648,1991-06-14,52,24 HOUR,81102
649,1991-06-18,57,24 HOUR,81102
650,1991-06-23,37,24 HOUR,81102
651,1991-06-29,30,24 HOUR,81102
652,1991-07-11,55,24 HOUR,81102
653,1991-07-17,49,24 HOUR,81102
654,1992-03-04,24,24 HOUR,88502
655,1992-03-07,14,24 HOUR,88502
656,1992-03-11,46,24 HOUR,88502
657,1992-03-14,31,24 HOUR,88502
658,1992-03-18,29,24 HOUR,88502
659,1992-03-21,13,24 HOUR,88502
